"YEAR","MONTH","LIP","LCPI","NEER","GS3M","GS6M","GS1","GS3"
2003,11,423.418984140301,415.233877001215,391.070605454745,10.06,10.0447619047619,9.94571428571428,9.63857142857143
2003,12,427.952338270453,415.466435245562,392.31433144754,12.0721052631579,11.7257894736842,11.5915789473684,10.83
2004,1,424.714898604551,417.535474571307,391.988680870685,12.0465,11.9965,11.589,10.923
2004,2,425.994233750542,418.779131075408,391.402832334353,12.5125,12.54,12.443,11.161
2004,3,425.427659996975,419.339356630275,388.516597044431,12.03,11.78,11.4542857142857,10.0704761904762
2004,4,425.994233750542,419.562571008669,387.84465951627,11.4614285714286,11.2066666666667,10.6519047619048,9.65761904761905
2004,5,425.711348130495,420.450479172782,388.583383006124,11.325,11.0855,10.6905,9.9495
2004,6,426.557615522368,420.560915407087,388.925677498172,11.3722727272727,11.215,11.0145454545455,10.4659090909091
2004,7,426.276321384706,420.560915407087,387.808211513112,11.3154545454545,11.2009090909091,10.9845454545455,10.5413636363636
2004,8,425.852890970828,420.229240144488,387.527070522572,11.0452380952381,10.9166666666667,10.6561904761905,10.1657142857143
2004,9,426.6979664226,420.339920842007,387.105828473285,10.9218181818182,10.8618181818182,10.7690909090909,10.3268181818182
2004,10,428.779929200839,420.781422662919,386.66841073787,10.4804761904762,10.3704761904762,10.1966666666667,9.73714285714286
2004,11,429.054277795414,420.891494220537,386.102366144048,9.79666666666667,9.60809523809524,9.42142857142857,9.00714285714286
2004,12,426.838120615129,420.781422662919,386.364062618041,9.11090909090909,8.975,8.68090909090909,8.38681818181818
2005,1,428.779929200839,421.549391330341,386.894904917179,8.76904761904762,8.63380952380952,8.52952380952381,8.30619047619048
2005,2,427.67494558218,421.985597038358,386.179838256409,8.019,7.8875,7.7595,7.548
2005,3,430.008613600104,422.636358554032,386.478019870622,7.288,7.2105,7.1485,7.189
2005,4,433.737407763824,423.390266271348,387.527489977921,7.33666666666667,7.31619047619048,7.29904761904762,7.38095238095238
2005,5,434.648279383648,423.925313026631,388.996344249914,7.33047619047619,7.33,7.32714285714286,7.36380952380952
2005,6,432.686149724915,424.244972329194,388.513008366749,6.885,6.86681818181818,6.85136363636364,6.81863636363636
2005,7,433.344479949835,424.244972329194,387.356029557393,6.41333333333333,6.41095238095238,6.38761904761905,6.30047619047619
2005,8,432.818162945407,423.711637731658,386.714415564783,6.05217391304348,6.03217391304348,6.0104347826087,5.92173913043478
2005,9,435.036127316505,423.925313026631,387.431593425106,5.68227272727273,5.66318181818182,5.62681818181818,5.66090909090909
2005,10,436.826456465758,423.925313026631,389.39762636233,6.03,6.066,6.112,6.449
2005,11,436.445503624091,424.138532723616,389.232669348329,6.14333333333333,6.23476190476191,6.42190476190476,6.80238095238095
2005,12,436.826456465758,424.138532723616,389.953026003203,6.01523809523809,6.19761904761905,6.4347619047619,6.90809523809524
